trip_id,rider_id,zone,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,population_density,traffic_index,avg_speed_kmph,zone_type,fare_zscore,distance_zscore,hour,day_of_week,month,gender_encoded,payment_mode_Cash,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,zone_Zone_1,zone_Zone_10,zone_Zone_2,zone_Zone_3,zone_Zone_4,zone_Zone_5,zone_Zone_6,zone_Zone_7,zone_Zone_8,zone_Zone_9,traffic_level,traffic_level_encoded,ride_frequency,log_fare,log_distance,sqrt_duration,avg_ride_distance,avg_ride_fare,is_peak_hour,days_since_signup,ride_cancellation_rate,fare_per_km
T00001,R0037,Zone_10,11.83,74.59,104.88,Cash,2023-11-13,0,Aadhya Iyer,32.0,Other,Ahmedabad,2020-11-21,489.0,6.0,3.36,2440.0,1.54,35.4,Industrial,-0.34760426094113706,0.8051118769089531,0,0,11,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,1,High,4.662306377358901,2.551786178627545,8.636550237218563,0.15969325153374234,2.6884662576687117,0,2086,0.012269938650306749,8.865595942519018
T00002,R0104,Zone_9,3.86,35.59,40.48,Cash,2023-07-28,0,Diya Gupta,52.0,Male,Kolkata,2021-05-27,328.0,1.0,3.7,11037.0,1.83,56.1,Mixed,-1.1008152956137889,-0.985983272107777,0,4,7,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,High,2,Medium,3.7252113833613265,1.5810384379124023,5.965735495309862,0.14234756097560977,2.3335060975609756,0,1899,0.003048780487804878,10.487046632124352
T00003,R0045,Zone_8,4.7,31.03,46.39,Cash,2024-01-14,0,Saanvi Iyer,34.0,Other,Ahmedabad,2023-07-12,100.0,16.0,4.88,4516.0,1.93,31.0,Business,-1.0316929786119973,-0.7972103831273435,0,6,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,High,2,Low,3.858411235979497,1.7404661748405046,5.570457790882182,0.8753,15.298499999999999,0,1123,0.16,9.870212765957447
T00004,R0089,Zone_2,11.06,59.48,257.64,Cash,2023-12-13,1,Saanvi Reddy,48.0,Other,Surat,2022-09-21,308.0,6.0,3.91,6371.0,0.91,58.4,Residential,1.439049739937656,0.6320700620102228,0,2,12,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,Medium,5.555437133417177,2.4898941912990393,7.712327793863536,0.29165584415584417,4.595941558441559,0,1417,0.01948051948051948,23.294755877034355
T00005,R0003,Zone_5,7.28,67.59,72.74,UPI,2023-03-15,0,Kavya Reddy,34.0,Male,Pune,2023-05-04,45.0,9.0,3.76,2590.0,1.31,43.9,Business,-0.7235080288662773,-0.21740793840172704,0,2,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,1,Low,4.300545392805998,2.1138429683971687,8.221313763626833,1.5040000000000002,21.593555555555557,0,1192,0.2,9.991758241758241
T00006,R0255,Zone_2,14.58,80.74,282.52,UPI,2024-02-10,0,Reyansh Sharma,37.0,Female,Bengaluru,2021-07-06,475.0,42.0,3.12,6371.0,0.91,58.4,Residential,1.7300418291093265,1.4231183586901335,0,5,2,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0,High,5.647282667416716,2.7459880404426023,8.985543945694106,0.15162105263157893,2.6573052631578946,0,1859,0.08842105263157894,19.377229080932782
T00007,R0224,Zone_4,4.48,40.07,58.38,Credit Card,2023-08-21,0,Ishaan Sharma,29.0,Female,Ahmedabad,2020-08-04,200.0,1.0,4.31,4038.0,2.46,48.2,Business,-0.8914600546100548,-0.8466509016698379,0,0,8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,High,2,Medium,4.083957469335614,1.7011051009599243,6.330086887239385,0.20855,2.5707,0,2195,0.005,13.03125
T00008,R0039,Zone_3,11.75,96.11,102.35,Wallet,2024-03-10,0,Aadhya Iyer,24.0,Male,Chennai,2023-11-18,190.0,14.0,4.2,12971.0,2.11,38.0,Business,-0.3771946944461341,0.7871335065298642,0,6,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,High,2,Medium,4.638121286127777,2.545531271604435,9.803570778037969,0.17821052631578946,2.674,0,994,0.07368421052631578,8.71063829787234
T00009,R0223,Zone_5,9.71,66.61,175.75,Credit Card,2024-05-20,0,Meera Ghosh,30.0,Female,Surat,2019-11-29,158.0,10.0,4.04,2590.0,1.31,43.9,Business,0.4812787519043728,0.3286850618630979,0,0,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,1,Low,5.174736304776682,2.3711778844596574,8.161494961096281,0.3569620253164557,6.248164556962026,0,2444,0.06329113924050633,18.099897013388258
T00010,R0236,Zone_5,7.37,51.09,98.34,UPI,2023-03-01,0,Arjun Gupta,28.0,Male,Ahmedabad,2020-08-10,61.0,1.0,3.36,2590.0,1.31,43.9,Business,-0.4240949467603783,-0.19718227172525207,0,2,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,1,Low,4.598548309679204,2.124653884501384,7.147726911403373,0.8198360655737704,12.599016393442623,0,2189,0.01639344262295082,13.343283582089553
